signal,horizon,ic,oos_r2,oos_ic,p_value_ic,a_s_cost_bps,expected_return_bps,survival,n_obs
volume_ratio_20,1hour,0.0040468371673671255,-0.0002452691387102579,-0.002386230820902984,0.00012307792301124998,7.447818472546172,0.3134646259640177,False,900345
volume_sma_50,1hour,0.007687019451228394,9.091318669995907e-05,0.020441064748940845,3.446132268436486e-13,7.447818472546172,0.5939609259736606,False,895822
volume_ratio_50,1hour,0.008180005056412587,-0.0005865070993236188,-0.002213145098897899,9.769962616701378e-15,7.447818472546172,0.632052957404659,False,895822
volume_per_dollar,1hour,0.018945125903504313,4.713061225170012e-05,0.031058977985397803,0.0,7.447818472546172,1.4722080523757084,False,906495
volume_roc,1hour,0.0016161979639393407,-7.24288482130131e-05,0.001981243920433937,0.12413138985764194,7.447818472546172,0.12555186849136216,False,905176
spread_roc,1hour,0.0008523809371150808,-0.00011185268040403429,0.001154715601418612,0.417522137947798,7.447818472546172,0.06617545234266999,False,904656
spread_zscore,1hour,0.008557859666983303,-0.000491453878761261,-0.002395486256223725,4.440892098500626e-16,7.447818472546172,0.6650622353774276,False,905686
price_volume_corr,1hour,-0.010741358773122848,-0.0005704232746668314,0.0008378248870100286,0.0,7.447818472546172,-0.8320166764586847,False,900345
vol_ratio_short_long,1hour,0.003834092981826823,-0.00014078448042020852,-0.0005121509111471582,0.00026141673127022536,7.447818472546172,0.2980629321651206,False,906673
intraday_gap,1hour,-0.0013821938692461571,-6.41192111450195e-05,0.015261836355807957,0.18797445373849153,7.447818472546172,-0.10746308956738734,False,907334
btc_eth_corr,1hour,-0.0008247176325193874,-0.0001931134364954179,0.016580889457348605,0.43227540332090597,7.447818472546172,-0.06411435122948007,False,906705
eth_btc_ratio,1hour,-0.0076528305308221686,-0.0004265340559688191,0.0009758643166833772,3.1019631308026874e-13,7.447818472546172,-0.5949916693691382,False,907368
eth_btc_ratio_roc5,1hour,0.01260681933309066,-0.0006005235325594604,-0.00736820284477271,0.0,7.447818472546172,0.9801433499870756,False,907199
eth_btc_ratio_roc20,1hour,0.0037384293314053304,-0.00014554008652711836,-0.0036268236039539614,0.00037095272258325096,7.447818472546172,0.2906490684778946,False,906782
eth_vs_btc_return,1hour,0.015462158586690138,-0.0004565909378873023,-0.002921734346700691,0.0,7.447818472546172,1.2021502661356043,False,907367
eth_vs_btc_return_cum20,1hour,0.0035713004078915733,-0.00014138615607950378,-0.0036962142716430884,0.0006722923286575089,7.447818472546172,0.27763636870242747,False,906705
btc_return_share,1hour,5.546816740304163e-06,-7.489830251605767e-05,0.0001509461850870612,0.9957863244386524,7.447818472546172,0.0004310673455572909,False,906483
